epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,128.531,0.6724,1.11193,1.0713,0.97439,0.6,0.69628,0.4789,1.32831,2.26365,1.73133,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944
88,129.935,0.68682,1.14113,1.1015,0.96734,0.6,0.69826,0.47985,1.35959,2.20365,1.75843,0.00496644,0.00165548,0.00496644,0.00165548,0.00496644,0.00165548,0.00496644,0.00165548
89,131.287,0.56061,1.07428,1.03846,0.96734,0.6,0.69826,0.47985,1.35959,2.20365,1.75843,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152
90,132.676,0.5611,1.03568,1.03671,0.99196,0.6,0.70002,0.47464,1.47122,2.33839,1.84798,0.00494268,0.00164756,0.00494268,0.00164756,0.00494268,0.00164756,0.00494268,0.00164756
91,134.004,0.55814,1.16501,1.0478,0.99196,0.6,0.70002,0.47464,1.47122,2.33839,1.84798,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
92,135.42,0.60927,1.15583,1.11395,0.73703,0.56888,0.645,0.44968,1.33929,2.56253,1.86107,0.00491892,0.00163964,0.00491892,0.00163964,0.00491892,0.00163964,0.00491892,0.00163964
93,136.793,0.59355,1.1682,1.0289,0.73703,0.56888,0.645,0.44968,1.33929,2.56253,1.86107,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568
94,138.235,0.50106,1.10269,1.03927,0.98491,0.4,0.60537,0.40558,1.35865,2.61162,1.90974,0.00489516,0.00163172,0.00489516,0.00163172,0.00489516,0.00163172,0.00489516,0.00163172
95,139.583,0.51342,1.06491,1.01112,0.98491,0.4,0.60537,0.40558,1.35865,2.61162,1.90974,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776
96,141.104,0.62946,1.0798,1.05886,0.93007,0.6,0.7077,0.38779,1.34064,2.36199,1.83429,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
97,142.459,0.5326,0.94495,1.05022,0.93007,0.6,0.7077,0.38779,1.34064,2.36199,1.83429,0.00485952,0.00161984,0.00485952,0.00161984,0.00485952,0.00161984,0.00485952,0.00161984
98,143.932,0.63002,1.12724,1.1187,0.94094,0.6,0.78591,0.41976,1.36801,2.34087,1.84736,0.00484764,0.00161588,0.00484764,0.00161588,0.00484764,0.00161588,0.00484764,0.00161588
99,145.336,0.53726,1.0964,1.03005,0.94094,0.6,0.78591,0.41976,1.36801,2.34087,1.84736,0.00483576,0.00161192,0.00483576,0.00161192,0.00483576,0.00161192,0.00483576,0.00161192
100,146.912,0.394,1.0061,0.98499,0.94093,0.6,0.82833,0.47998,1.38377,2.36531,1.87563,0.00482388,0.00160796,0.00482388,0.00160796,0.00482388,0.00160796,0.00482388,0.00160796
101,148.295,0.56635,1.1338,1.0478,0.94093,0.6,0.82833,0.47998,1.38377,2.36531,1.87563,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
102,149.807,0.58938,1.02746,1.01917,0.79273,0.77094,0.92833,0.58424,1.2864,2.36137,1.85623,0.00480012,0.00160004,0.00480012,0.00160004,0.00480012,0.00160004,0.00480012,0.00160004
103,151.203,0.56337,1.01079,1.0381,0.79273,0.77094,0.92833,0.58424,1.2864,2.36137,1.85623,0.00478824,0.00159608,0.00478824,0.00159608,0.00478824,0.00159608,0.00478824,0.00159608
104,152.792,0.60306,0.94355,1.04979,1,0.74763,0.92,0.64124,1.30616,2.31126,1.80324,0.00477636,0.00159212,0.00477636,0.00159212,0.00477636,0.00159212,0.00477636,0.00159212
105,154.178,0.58094,1.04417,1.0548,1,0.74763,0.92,0.64124,1.30616,2.31126,1.80324,0.00476448,0.00158816,0.00476448,0.00158816,0.00476448,0.00158816,0.00476448,0.00158816
106,155.616,0.64793,1.02448,1.07737,0.81019,0.86111,0.96167,0.56665,1.35703,2.28396,1.81806,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
107,156.968,0.56775,1.00951,1.02075,0.81019,0.86111,0.96167,0.56665,1.35703,2.28396,1.81806,0.00474072,0.00158024,0.00474072,0.00158024,0.00474072,0.00158024,0.00474072,0.00158024
108,158.428,0.48532,0.98324,0.99672,0.81686,0.8,0.96167,0.52037,1.38188,2.32403,1.8626,0.00472884,0.00157628,0.00472884,0.00157628,0.00472884,0.00157628,0.00472884,0.00157628
109,159.804,0.51047,0.9591,0.94204,0.81686,0.8,0.96167,0.52037,1.38188,2.32403,1.8626,0.00471696,0.00157232,0.00471696,0.00157232,0.00471696,0.00157232,0.00471696,0.00157232
110,161.235,0.49333,1.01341,1.03739,0.70685,0.8,0.81786,0.48881,1.39323,2.4569,1.87901,0.00470508,0.00156836,0.00470508,0.00156836,0.00470508,0.00156836,0.00470508,0.00156836
111,162.61,0.51908,1.01663,1.03484,0.70685,0.8,0.81786,0.48881,1.39323,2.4569,1.87901,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
112,164.013,0.49645,0.97784,1.00533,0.72489,0.8,0.78611,0.4591,1.29957,2.45735,1.86051,0.00468132,0.00156044,0.00468132,0.00156044,0.00468132,0.00156044,0.00468132,0.00156044
113,165.356,0.56933,0.94467,1.02948,0.72489,0.8,0.78611,0.4591,1.29957,2.45735,1.86051,0.00466944,0.00155648,0.00466944,0.00155648,0.00466944,0.00155648,0.00466944,0.00155648
114,166.845,0.48274,0.90073,0.97578,0.7558,0.8,0.78611,0.49189,1.31837,2.36005,1.82295,0.00465756,0.00155252,0.00465756,0.00155252,0.00465756,0.00155252,0.00465756,0.00155252
115,168.227,0.66028,1.21457,1.13291,0.7558,0.8,0.78611,0.49189,1.31837,2.36005,1.82295,0.00464568,0.00154856,0.00464568,0.00154856,0.00464568,0.00154856,0.00464568,0.00154856
116,169.679,0.45576,0.89626,0.94753,0.78876,0.8,0.89786,0.55517,1.22741,2.35161,1.73888,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
117,171.072,0.47985,0.91075,0.96235,0.78876,0.8,0.89786,0.55517,1.22741,2.35161,1.73888,0.00462192,0.00154064,0.00462192,0.00154064,0.00462192,0.00154064,0.00462192,0.00154064
118,172.533,0.41194,0.78743,0.99952,1,0.5962,0.8204,0.55335,1.16797,2.29464,1.67555,0.00461004,0.00153668,0.00461004,0.00153668,0.00461004,0.00153668,0.00461004,0.00153668
119,173.898,0.57099,0.97772,1.10954,1,0.5962,0.8204,0.55335,1.16797,2.29464,1.67555,0.00459816,0.00153272,0.00459816,0.00153272,0.00459816,0.00153272,0.00459816,0.00153272
120,175.332,0.53265,0.94383,1.04076,0.67405,0.6,0.795,0.52768,1.24681,2.36256,1.71682,0.00458628,0.00152876,0.00458628,0.00152876,0.00458628,0.00152876,0.00458628,0.00152876
121,176.686,0.49096,0.90713,1.00192,0.67405,0.6,0.795,0.52768,1.24681,2.36256,1.71682,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
122,178.256,0.50569,0.8932,0.98934,0.66478,0.8,0.695,0.43533,1.22844,2.37627,1.74448,0.00456252,0.00152084,0.00456252,0.00152084,0.00456252,0.00152084,0.00456252,0.00152084
123,179.643,0.5208,0.91958,0.98335,0.66478,0.8,0.695,0.43533,1.22844,2.37627,1.74448,0.00455064,0.00151688,0.00455064,0.00151688,0.00455064,0.00151688,0.00455064,0.00151688
124,181.104,0.48904,0.83351,1.00539,0.65408,0.76225,0.68591,0.43185,1.2272,2.4468,1.74295,0.00453876,0.00151292,0.00453876,0.00151292,0.00453876,0.00151292,0.00453876,0.00151292
125,182.496,0.44286,0.91027,1.00742,0.65408,0.76225,0.68591,0.43185,1.2272,2.4468,1.74295,0.00452688,0.00150896,0.00452688,0.00150896,0.00452688,0.00150896,0.00452688,0.00150896
126,183.935,0.5732,1.03567,1.09563,0.57242,0.6,0.61682,0.38489,1.19198,2.53526,1.86013,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
127,185.314,0.46571,1.01813,0.99039,0.57242,0.6,0.61682,0.38489,1.19198,2.53526,1.86013,0.00450312,0.00150104,0.00450312,0.00150104,0.00450312,0.00150104,0.00450312,0.00150104
128,186.843,0.44252,0.85491,0.94044,0.58095,0.5619,0.59119,0.35353,1.60523,2.56992,2.11808,0.00449124,0.00149708,0.00449124,0.00149708,0.00449124,0.00149708,0.00449124,0.00149708
